case,hd95_mm,note
sub-r011s023,44.721359549995796,
sub-r011s024,45.48626166217664,
sub-r011s025,71.86097689288673,
sub-r011s026,33.13608305156178,
sub-r011s027,44.46346815083142,
sub-r011s028,72.18725649309579,
sub-r011s029,20.12461179749811,
sub-r011s030,37.33630940518894,
sub-r011s031,2.8284271247461903,
sub-r011s032,59.19459434779497,
sub-r011s033,59.61543424315552,
sub-r011s034,14.317821063276353,
sub-r014s002,74.95998932764064,
sub-r014s004,108.49423947841655,
sub-r014s008,67.14908785679818,
sub-r014s010,48.641546028061235,
sub-r014s015,inf,
sub-r015s001,7.0,
sub-r015s006,19.949937343260004,
sub-r015s008,21.02379604162864,
sub-r015s009,40.607881008493905,
sub-r015s010,5.0,
sub-r015s011,8.306623862918075,
sub-r015s016,7.280109889280518,
sub-r015s018,25.553864678361276,
sub-r015s019,65.6505902486794,
sub-r015s025,60.315835400000886,
sub-r015s026,52.16320542297991,
sub-r015s027,23.853720883753127,
sub-r017s104,5.477225575051661,
sub-r017s105,46.9148164229596,
sub-r017s106,9.848857801796104,
sub-r017s110,4.47213595499958,
sub-r017s116,16.06237840420901,
sub-r017s117,68.42514157822401,
sub-r017s118,62.369864518050704,
sub-r017s119,16.15549442140351,
sub-r018s001,3.1622776601683795,
sub-r018s007,13.45362404707371,
sub-r018s008,10.723805294763608,
sub-r018s010,58.855755878248644,
sub-r018s011,16.822603841260722,
sub-r018s012,5.477225575051661,
sub-r019s001,98.67623827447011,
sub-r019s004,28.284271247461902,
sub-r019s007,44.02272140611028,
sub-r019s008,7.280109889280518,
sub-r019s009,13.490737563232042,
sub-r019s010,51.07837115648854,
sub-r019s012,52.32590180780452,
sub-r023s001,72.58787777583802,
sub-r023s002,54.120236510939236,
sub-r023s003,8.06225774829855,
sub-r023s007,12.569805089976535,
sub-r023s008,5.830951894845301,
sub-r023s009,43.57751713900185,
sub-r023s014,10.0,
sub-r023s017,2.8284271247461903,
sub-r024s002,47.67598976424087,
sub-r024s003,28.53068523537421,
sub-r024s005,3.7416573867739413,
sub-r024s008,55.47071299343465,
sub-r024s011,65.25335240430181,
sub-r024s012,41.6293165929973,
sub-r024s013,40.422765862815474,
sub-r024s014,47.89572005931219,
sub-r024s018,4.123105625617661,
sub-r024s019,8.12403840463596,
sub-r024s021,71.96526940128828,
sub-r027s001,3.605551275463989,
sub-r027s006,58.05170109479997,
sub-r027s009,4.123105625617661,
sub-r027s013,25.337718918639855,
sub-r027s015,36.810324638611924,
sub-r027s017,41.12177038990418,
sub-r027s023,6.324555320336759,
sub-r027s031,4.47213595499958,
sub-r027s032,36.069377593742864,
